district,city,latitude,longitude,updated_time,price,land_area_sqm,building_area_sqm,jumlah lantai,kamar tidur,kamar mandi,carpots,garasi,sertifikat,daya listrik,interior,tahun dibangun
Tangerang,Tangerang,-6.1701796,106.6403236,02/06/2024,Rp 423.000.000,66 m²,40 m²,1,2,1,2,N/A,SHM,1300 Watt,Unfurnished,2023
Tangerang,Tangerang,-6.1701796,106.6403236,02/06/2024,Rp 379.000.000,60 m²,35 m²,1,2,1,2,N/A,SHM,1300 Watt,Unfurnished,2023
Tangerang,Tangerang,-6.1701796,106.6403236,02/06/2024,Rp 423.000.000,66 m²,40 m²,1,2,1,2,N/A,SHM,1300 Watt,Unfurnished,2023
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tangerang,Tangerang,-6.1701796,106.6403236,02/06/2024,Rp 423.000.000,66 m²,40 m²,1,2,1,2,N/A,SHM,1300 Watt,Unfurnished,2023
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 418.000.000,70 m²,45 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Tangerang,Tangerang,-6.1701796,106.6403236,02/06/2024,Rp 379.000.000,60 m²,35 m²,1,2,1,2,N/A,SHM,1300 Watt,Unfurnished,2023
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 401.000.000,66 m²,40 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 360.000.000,60 m²,35 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 418.000.000,70 m²,45 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 401.000.000,66 m²,40 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Cisauk,Tangerang,-6.3408595,106.6369178,02/06/2024,Rp 360.000.000,60 m²,35 m²,1,2,1,1,N/A,SHM,1300 Watt,Unfurnished,2024
Tangerang,Tangerang,-6.1701796,106.6403236,26/05/2024,Rp 400.000.000,70 m²,45 m²,N/A,2,1,2,N/A,SHM,1300 Watt,Unfurnished,2023
Tangerang,Tangerang,-6.1701796,106.6403236,26/05/2024,Rp 361.000.000,60 m²,35 m²,1,2,1,2,N/A,SHM,1300 Watt,Unfurnished,2023
Cikupa,Tangerang,-6.2347753,106.5201084,26/05/2024,Rp 754.200.000,65 m²,37 m²,1,3,1,1,N/A,SHM,2200 Watt,Unfurnished,2024
Pinang,Tangerang,-6.222638799999999,106.6920099,26/05/2024,Rp 2.500.000.000,128 m²,140 m²,2,4,4,2,2,SHM,2200 Watt,Semi Furnished,N/A
Pinang,Tangerang,-6.222638799999999,106.6920099,26/05/2024,Rp 3.300.000.000,306 m²,269 m²,2,4,4,2,2,N/A,N/A,Semi Furnished,N/A
Cisauk,Tangerang,-6.3408595,106.6369178,26/05/2024,Rp 388.000.000,70 m²,45 m²,1,2,1,1,N/A,SHM,1300 Watt,Semi Furnished,2023
Legok,Tangerang,-6.3270862,106.5556574,26/05/2024,Rp 950.000.008,78 m²,67 m²,2,3,2,1,N/A,SHM,1298 Watt,Unfurnished,2021
